id,file_name,download_link,publication_date
46015,DLTINS_20210117_01of01.zip,http://firds.esma.europa.eu/firds/DLTINS_20210117_01of01.zip,2021-01-17T00:00:00Z
46051,DLTINS_20210119_01of02.zip,http://firds.esma.europa.eu/firds/DLTINS_20210119_01of02.zip,2021-01-19T00:00:00Z
46052,DLTINS_20210119_02of02.zip,http://firds.esma.europa.eu/firds/DLTINS_20210119_02of02.zip,2021-01-19T00:00:00Z
46032,DLTINS_20210118_01of01.zip,http://firds.esma.europa.eu/firds/DLTINS_20210118_01of01.zip,2021-01-18T00:00:00Z
